油嘴,油压,日产液量,日产油量,日产气量
7,24.1,359.79,37.4,1592.2
7,24,354.6,42.1,1547.3
8,24,434.7,75.2,1502.4
8,24,432.8,95.6,1457.5
8,23.2,452.32,118.5,1412.6
8,22.6,420.9,125.4,1367.7
8,22.6,406.9,132.6,1322.8
8,22.6,401.6,152.2,1277.9
8,21.1,378.44,146.7,1233
8,20.8,365.2,144.6,1188.1
8,20.6,397.6,165.6,1143.2
8,20.2,391.4,166.5,1098.3
8,19.7,380.8,181.8,1053.4
8,19.4,347.4,157.7,1008.5
5,19.4,160.2,73.8,1021
5,21.1,145.9,70.6,887
5,21.4,149.4,69.4,812
5,21.6,150.6,70.1,818
5,21.6,149.5,70.7,831
5,21.7,145.8,70.1,883
5,21.7,150.4,72,816
5,21.8,151.9,72,1518
5,21.8,151.3,72.1,2035
5,21.7,150.9,72.5,1218
5,21.5,150.7,73,1250
5,21.4,150,74.4,7252
5,21.4,151.4,73.2,7291
5,21.4,151.58,75.5,7479
5,21.4,150.9,72.2,7396
5,21.3,150.5,72,7347
5,21.2,150.3,69.9,7065
5,21.1,148.9,71,7329
5,21,148.6,71.9,7463
5,20.9,147.9,71.5,7536
5,20.8,149.2,72.2,7509
5,20.7,148.4,71.5,7479
5,20.6,148.7,71.6,7587
5,20.5,148.7,71.3,7713
5,20.4,147.2,70.6,7052
5,20.3,146,70.2,7697
5,20.2,145.9,70,7732
5,20.1,145.1,70.5,7757
5,20,145,70.4,7752
5,20,144,70.4,7744
5,19.9,138.8,69.2,7430
5,19.7,135.3,67.2,7308
5,19.6,135,67.3,7300
5,19.5,135,67.4,7416
5,19.4,134,66.8,7349
5,19.3,136,67.2,7404
4,19.3,109.97,57.6,6140
4,19.4,98.22,51.6,5228
4,19.4,101.9,54,5378
4,19.4,103.2,53.4,5531
4,19.4,103.3,54.1,5488
4,19.4,104.1,54.4,5502
4,19.4,104,54.3,5606
4,19.4,103.5,50.7,5668
4,19.3,112.9,58.7,5665
4,19.3,113,59.2,5659
4,19.3,113.6,59.5,5662
3,19.3,79.8,45.7,4334
3,19.4,58.7,32.6,2708
3,19.6,59.9,33.5,2842
3,19.7,61.2,33,2834
3,19.8,61.5,33.1,2899
3,19.8,62,34.6,2800
3,20.1,62.5,33.7,2749
3,20.1,62.9,34.5,2819
3,20.2,63,34.5,2807
3,20.2,63.3,34.3,2850
3,20.2,63.5,35.3,2974
3,20.3,63.5,34.6,2991
3,20.3,63.9,35.8,3042
3,20.3,65.1,37.2,3020
3,20.3,62.8,35,3005
3,20.3,63.9,36.2,2838
3,20.4,63.6,37.2,2729
3.5,20.4,64.5,35.9,3026
3.5,20.4,67.8,38,3026
3.5,20.4,75.1,42.8,3026
3.5,20.4,75.6,43,4040
3.5,20.3,77.3,44,4204
3.5,20.3,77.8,44.1,4228
3.5,20.3,76.6,43.5,4246
3.5,20.1,76.6,43.8,4238
3.5,20.1,76.8,43.2,4230
3.5,20.1,76.7,44.2,3636
3.5,20.1,76.1,43.3,3439
3.5,20,76,43.9,4078
3.5,19.8,75.8,43.5,4207
3.5,19.8,75.8,44.2,4115
3.3,19.8,75.4,43.3,4107
3.3,19.7,76.8,44.3,4167
3.3,19.7,78.2,46.1,4254
3.3,19.6,78.2,44.4,4360
3.3,19.6,78.9,45.4,4369
3.3,19.48,77.6,44.1,4135
3.3,19.61,74.9,40,4096
3.3,19.57,74.7,39.5,1000
3.3,19.55,72,39.1,847
3.3,19.49,71.5,38.9,791
3.3,19.39,71,39,371
3.3,19.42,70.1,37.8,4492
3.3,19.34,68.3,36.5,4096
3.3,19.31,68.5,37.5,2044
3.3,19.25,68.4,36.5,2026
3.3,19.25,68.5,36.8,2031
3.3,19.25,69.7,38.6,2077
3.3,19.27,68.3,36.8,2070
3.3,19.22,68.5,36.8,2057
3.3,19.22,68,37.6,2070
3,19.08,67.5,36.4,1850
3,18.89,48.9,27.1,1704
3,19.04,50.7,26.9,1625
3,19.15,56.1,29.7,1800
3,18.93,57.3,31.7,1945
3,18.94,57.3,30.9,1926
3,19,57.6,28.9,1945
3,19,58.1,30,1973
3,18.95,58.5,29.8,2003
3,18.92,58.7,30.4,1969
3,18.86,57.7,28.6,2011
3,18.87,58,29.1,2011
3,18.87,58.4,29.4,2007
3,18.87,57.4,29.5,2009
3,18.75,58,29.1,2006
3,18.73,58.2,30.9,2022
3,18.67,57.7,30.4,2017
3,18.67,57.4,28.8,1991
3,18.58,58.9,28.3,2042
3,18.55,57.6,28.6,2001
3,18.55,58.7,28.5,2061
3,18.52,57.3,28.4,2019
3,18.51,58.3,30.1,2041
3,18.4,58.83,29.7,2047
3,18.4,58.2,29.8,2030
3,18.38,58.6,29.3,2049
3,18.32,58,29.2,2028
3,18.21,55.3,27.9,2021
3,18.18,55.9,28.3,2031
3,18.17,58.9,28.9,2045
3,18.17,61.1,28.5,2027
3,18.02,60.2,29.1,2040
3,18.03,59.5,28.9,1994
3,18.03,58.6,28.6,2003
3,18.03,58.1,28.5,2009
3,17.94,57.8,28.7,2012
3,17.94,58.1,28.2,2000
3,17.89,58.7,28.9,2002
3,17.79,58.3,28.5,1985
3,17.79,57.6,28,1992
3,17.75,58.2,28.3,2043
3,17.72,57.2,28,1935
3,17.65,58.6,28.1,2020
3,17.6,58,28,1999
3,17.63,57.6,27.9,1978
3,17.55,58.2,28.1,1981
3,17.54,58.7,28.4,1998
3,17.24,58.3,27.8,2010
3,17.38,58.3,28,1962
3,17.33,57.4,27.4,1954
3,17.34,59.2,28.6,1977
3,17.3,58.9,28.9,2002
3,17.32,59,28.7,1931
3,17.19,58.8,28,1991
3,17.08,59.5,28.7,1969
3,17.19,59.7,29,1647
3,17.09,57.6,28.6,1966
3,17.02,60,29.3,1964
3,17.01,60.2,29.6,1962
3,16.99,60,28.4,1939
3,16.96,58.9,28,1947
3,16.88,59.5,28.6,1945
3,16.89,58,27.7,1931
3,16.79,58.5,28,1935
3,16.81,59,28.1,1951
3,16.72,59.4,28.5,1954
3,16.72,58.3,27.9,1943
3,16.62,58.5,28,1813
3,16.6,57,27,1842
3,16.64,58.3,27.3,1920
3,16.57,58.8,27.7,1954
3,16.3,57.1,27.1,1706
3,16.65,56.5,27,1937
3,16.68,55,26.4,1738
3,16.58,54.2,26,1765
3,16.57,53.8,25.9,1891
3,16.54,54.3,26.2,1894
3,16.49,54.5,26.1,1892
3,16.46,54.8,26.4,1858
3,16.36,54.2,26.3,1886
3,16.39,54.7,26.5,1884
3,16.36,55.2,26.3,1907
3,16.33,56.3,26.6,1902
3,16.31,55.8,26.2,1922
3,16.32,55,26.1,1846
3,16.28,55.6,26.5,1834
3,16.21,55,26.4,1834
3,16.18,55.7,26.5,1855
3,16.22,55,26.4,1848
3,16.17,55.4,26.5,1882
3,16.16,55.5,26.5,1879
3,16.06,55.2,26.4,1909
3,16.02,55.5,26.6,1862
3,16.02,54.6,26,1892
3,15.98,54.1,25.5,1904
3,15.93,53.6,25.3,1908
3,15.89,53.4,25,1865
3,15.89,54,25.3,1672
3,15.8,53.8,25.1,1814
3,15.8,54,25.3,1835
3,15.74,53,25,1759.7
3,15.75,53.6,25.2,1853
3,15.71,53.2,25.1,1838
3,15.66,53.4,25,1856
3,15.58,53.5,25.1,1860
3,15.58,53.8,25.3,1871
3,15.48,53.4,25.2,1901
3,15.49,53.2,25,1911
3,15.51,53.5,25.1,1934
3,15.43,53,25,1954
3,15.4,53.9,25.3,1908
3,15.38,53.8,25.1,1920
3,15.32,53.4,25,1908
3,15.27,54.5,25.3,1905
3,15.25,54,25.2,1934
3,15.26,53.5,25,1941
3,15.2,53.9,25.2,1942
3,15.1,53.6,25.1,1935
3,15.1,53.3,25.2,1952
3,15.07,53.1,25,1943
3,15.05,53.8,25,1950
3,14.95,53.2,25.1,1953
3,14.92,52.9,24.8,1969
3,14.9,52.8,24.6,1990
3,14.88,52.9,24.7,1948
3,14.8,51.8,24.3,1968
3,14.79,52.6,24.5,1970
3,14.76,51.6,24.2,1979
3,14.72,51.2,24,1948
3,14.7,51.8,24.1,1923
3,14.66,51.1,24,1923
3,14.6,51.3,24.1,1934
3,14.55,51.2,24.1,1934
3,14.53,51.1,24,1951
3,14.54,51.4,24.1,1966
3,14.42,51,23.9,1935
3,14.44,51.1,24,1839
3,14.38,51,24,1938
3,14.35,51.1,23.8,1968
3,14.31,51.8,24.3,1966
3,14.29,51.4,24,1977
3,14.23,51.6,24.2,1982
3,14.2,51.6,24,1983
3,14.15,51.4,24.1,1993
3,14.16,51.2,24,1964
3,14.11,51,23.9,1963
3,14.98,51.1,24,1958
3,14.98,51.3,24.1,2157
3,14.88,51.1,23.9,2018
3,14.66,51.2,24,1962
3,14.61,51,23.8,1941
3,14.44,51.1,23.9,1917
3,14.46,51.4,24.1,1903
3,14.42,50.6,23.6,1926
3,14.26,51.4,23.9,1909
3,14.16,50.9,23.7,1901
3,14.05,50.8,23.3,1902
3,13.96,50.8,23.5,1876
3,13.92,50.9,23.4,1895
3,13.85,50.7,23.6,1875
3,13.83,50.6,23.5,1896
3,13.88,50.5,23.4,1988
3,13.98,50.6,23.4,1912
3,14.13,50.4,23.4,1918
3,14.18,50.7,23.6,1967
3,14.21,50.5,23.4,1978
3,14.02,51,23.7,1963.1
3,13.96,50.8,23.5,1966.6
3,13.9,51,23.8,1970.1
3,13.84,50.8,23.6,1980
3,13.71,50.4,23.2,1985
3,14.05,50.7,23.5,2009
3,14.21,50.5,23.3,2033
3,13.87,50.3,23.4,1653
3,13.87,50.6,23.5,1917
3,13.68,50.1,23.3,1899
3,13.59,50.2,23.4,1876
3,13.57,50.2,23.2,1891
3,13.63,50.3,23.3,1917
3,13.46,50,23.1,1930
3,13.35,50.2,23.2,1907
3,13.33,49.9,23,1901
3,13.57,49.8,22.8,1907
3,13.35,50,22.9,1927
3,13.44,49.7,22.7,1887
3,13.43,49.5,22.5,1915
3,13.29,49.3,22.6,1897
3,13.45,49.1,22.2,1895
3,13.45,49.4,22.5,1911
3,13.43,49.5,22.3,1913
3,13.37,49.3,22.4,1919
3,13.46,49.1,22.2,1914
3,13.42,49.4,22.3,1928
3,13.46,49.1,22.1,1922
3,13.22,49.3,22.4,1921
3,13.15,49.5,22.6,1907
3,13.13,49,22.2,1864
3,13.04,49.3,22.5,1847
3,13,49.9,22.7,1859
3,12.94,49.6,22.4,1853
3,12.86,49.4,22.2,1843
3,12.85,49.5,22.5,1829
3,12.78,49.2,22.1,1797
3,12.74,49.4,22.2,1743
3,12.7,49.1,22,1666
3,12.62,49.3,22.1,1638
3,12.58,49,21.8,1636
3,12.52,49.1,21.9,1611
3,12.49,49.4,21.9,1600
3,12.49,49.4,21.7,1603
3,12.39,49.3,22,1606
3,12.36,49.3,21.8,1599
3,12.3,49.2,21.9,1589
3,12.3,49.1,21.8,1593
3,12.22,48.9,21.6,1589
3,12.23,49,21.5,1583
3,12.13,48.7,21.5,1553
3,12.14,48.9,21.6,1562
3,12.07,49,21.9,1556
3,12.04,48.9,22,1550
3,12.03,48.8,21.9,1524
3,11.99,48.6,22,1513
3,11.93,48,21.9,1507
3,11.88,47.6,21.8,1495
3,11.9,47.5,21.9,1481
3,11.85,47.7,22.2,1491
3,11.77,47.7,22.4,1492
3,11.8,47,22,1490
3,11.75,47.4,22.4,1500
3,11.72,47,22.4,1474
3,11.68,46.9,22.5,1477
3,11.66,46.9,22.7,1473
3,11.65,46.2,22.3,1465
3,11.62,46.6,22.6,1465
3,11.58,46.7,22.8,1465
3,11.52,46.3,22.5,1449
3,11.49,46.5,22.8,1452
3,11.45,46.2,22.8,1439
3,11.49,46.4,22.9,1424
3,11.42,46,22.8,1429
3,11.39,46.1,22.9,1429
3,11.35,45.9,22.8,1433
3,11.31,45.7,22.7,1425
3,11.31,45.2,22.4,1427
3,11.27,45.3,22.7,1432
3,11.22,45.2,22.6,1415
3,11.2,44.9,22.5,1401
3,11.16,45.1,22.6,1395
3,11.1,45,22.6,1389
3,11.13,44.7,22.5,1400
3,11.11,45,22.7,1406
3,11.07,44.2,22.4,1408
3,11.07,44.1,22.5,1396
3,11.01,42.9,22,1390
3,11.01,43.3,22.1,1389
3,10.95,43.4,22.3,1388
3,10.92,43.8,22.5,1404
3,10.91,43.6,22.4,1367
3,10.81,43.3,22.2,1368
3,10.79,42.9,22,1374
3,10.77,43.3,22.2,1371
3,10.84,43.4,22.3,1398
3,10.84,43,22.1,1413
3,10.58,42.9,22,1339
3,10.61,42.5,21.8,1349
3,10.55,42.7,21.9,1349
3,10.56,42.1,21.7,1349
3,10.5,42.3,21.8,1353
3,10.54,41.7,21.3,1346
3,10.64,41.1,21,1336
3,10.63,41.5,21.2,1350
3,10.46,41.2,21,1356
3,10.54,41.3,21.1,1296
3,10.58,41.7,21.3,1323
3,10.55,41.3,21.1,1328
3,10.52,41.2,21,1331
3,10.64,41.5,21.2,1332
3,10.63,41.7,21.3,1352
3,10.5,31.2,15.8,1094
3,10.69,25.9,13,949
2.5,10.88,27,13.5,878
2.5,10.78,29.8,15,979
2.5,10.76,29.3,14.8,96
2.5,10.76,30.4,15.3,513
2.5,10.79,29.7,15,947
2.5,10.68,29.8,15.1,953
2.5,10.74,30,15.2,938
2.5,10.62,29.7,15.1,939
2.5,10.64,30,15.3,926
2.5,10.64,29.4,15,904
2.5,10.66,30.2,15.5,918
2.5,10.72,30,15.4,910
2.5,10.73,29.7,15.2,430
2.5,10.73,29.9,15.4,504
2.5,10.71,29.6,15.3,917
2.5,10.78,29.7,15.3,897
2.5,10.72,30,15.3,887
2.5,10.83,29.9,15.1,927.4
2.5,10.83,30,15.2,975.9428571
2.5,10.81,30,15.3,1024.485714
2.5,10.81,30.1,15.3,1073.028571
2.5,10.8,29.9,15.3,1121.571429
2.5,10.78,29.8,15.3,1170.114286
2.5,10.74,29.8,15.3,1218.657143
2.5,10.73,29.8,15.3,999
2.5,10.73,29.6,15.3,1001
2.5,10.72,29.5,15.3,980
2.5,10.72,29.4,15.2,976
2.5,10.81,29.1,15.1,954
2.5,10.77,28.6,14.8,1009
2.5,10.79,28.7,14.9,971
2.5,10.79,28.6,14.8,995
2.5,10.84,28.7,14.9,946
2.5,10.79,28.5,14.8,934
2.5,10.83,28.6,14.4,924
2.5,10.83,28.5,14.3,925
2.5,10.83,28.3,14.2,896
2.5,10.83,28.1,14.3,928
2.5,10.8,28.3,14.7,928
2.5,10.81,28.1,14.6,929.5
2.5,10.8,28,14.5,922
2.5,10.81,27.5,14.4,899
2.5,10.78,27,13.7,882
2.5,10.75,26.9,14.2,889
2.5,10.78,26.8,14.2,887
2.5,10.82,26.7,14.1,881
2.5,10.85,26.8,14.2,887
2.5,10.86,26.9,14.2,889
2.5,10.86,26.7,14.4,895
2.5,10.86,26.9,13.8,875
2.5,10.83,26.7,14,875
2.5,10.83,26.7,14.2,878
2.5,10.81,26.6,14.2,879
2.5,10.84,26.5,14.1,902
2.5,10.81,26.5,14.1,916
2.5,10.77,26.6,14.2,868
2.5,10.77,26.6,14.2,882
2.5,10.77,26.5,14.3,881
2.5,10.77,26.6,14.3,901
2.5,10.77,26.7,14.5,899
2.5,10.76,26.6,14.5,884
2.5,10.77,26.7,14.5,889
2.5,10.77,26.4,14.4,890
2.5,10.76,26.5,14.4,886
2.5,10.76,26.2,14.3,891
2.5,10.72,26.3,14.4,868
2.5,10.68,26.3,14.4,766
2.5,10.83,26,14.3,736
2.5,10.83,25.8,14.2,937
2.5,10.75,26.2,14.4,922
2.5,10.73,26,14.3,929
2.5,10.61,26,14.1,913
2.5,10.63,26.1,14.2,894
2.5,10.6,25.8,14,876
2.5,10.61,25.7,14,887
2.5,10.61,25.6,13.9,866
2.5,10.58,25.5,13.9,864
2.5,10.58,25.6,13.9,841
2.5,10.61,25.5,13.9,704
2.5,10.56,25.4,13.8,743
2.5,10.59,25.2,13.7,860
2.5,10.58,25.2,13.7,829
2.5,10.49,25.1,13.6,876
2.5,10.55,25.2,13.6,860
2.5,10.55,25,13.5,903
2.5,10.43,24.8,13.3,900.7
2.5,10.5,24.6,13.2,884
2.5,10.44,24.6,13,868
2.5,10.45,24.8,13.1,849
2.5,10.38,24.4,12.9,856
2.5,10.42,24.6,13,854
2.5,10.39,25,13.2,714
2.5,10.36,24.8,13.1,819
2.5,10.43,24.7,13,843
2.5,10.42,24.8,13.1,858
2.5,10.41,24.4,12.9,850
2.5,10.34,24.2,12.8,847
2.5,10.26,24.2,12.8,855
2.5,10.3,24.1,12.7,850
2.5,10.3,23.8,12.6,827
2.5,10.31,23.6,12.5,831
2.5,10.26,24,12.7,826
2.5,10.56,24.4,12.9,824
2.5,10.22,24.2,12.8,731
2.5,10.21,23.9,12.6,748.1
2.5,10.24,23.6,12.5,857
2.5,10.24,23.3,12.3,855
2.5,10.2,23,12.1,843
2.5,10.24,22.5,11.9,852
2.5,10.21,22.5,11.9,842
2.5,10.21,23.1,12.2,844.6666667
2.5,10.21,22.9,12.1,839
2.5,10.25,22.9,12.1,842
2.5,10.15,23.1,12.2,844
2.5,10.17,23.3,12.3,812
2.5,10.14,23.1,12.2,840
2.5,10.21,23.5,12.3,833
2.5,10.2,23.9,12.5,836
2.5,10.2,23.8,12.4,829
2.5,10.2,23.9,12.5,761
2.5,10.16,24,12.6,901
2.5,10.16,24,12.6,850
2.5,10.1,24.4,12.8,839
