油压,套压,日产液量,日产油量,日产气量
33,33,82.5,0,
32,32,70,0.1,
30,30,84,0.2,
25,25,84,1.2,
20,20,84,4,
15,15,78,7.5,
10,10,76.5,13.7,
7,7,69,17.4,
6,6,42.5,12.1,
5.5,5.5,30.9,12.2,
5,5,29.5,12.4,
4.5,4.5,30.5,14.7,
4.5,4.5,30.3,14.2,
4.5,4.5,29.8,14,
4.5,4.5,29.6,14.8,
4.2,4.2,28,14.8,
4.2,4.2,27.8,14.9,
4.2,4.2,27.1,14.9,
4.2,4.2,20.2,11.3,
4.9,4.9,24.6,14.7,
4.6,4.6,22.4,14.2,
4.5,4.5,21.9,14.1,
4.2,4.2,20.5,13.3,
4.5,4.5,18.8,11.6,
4.2,4.2,18.6,11.4,
4.2,4.2,18.5,11.4,
4.5,4.5,18.5,12.2,
4,4,17,11.5,
4,4,17,11.2,
3.9,3.9,17,10.9,
3.9,3.9,17,10.1,
3.9,3.9,16.6,9.9,
3.9,3.9,16.6,9.9,
3.9,3.9,16.3,10.2,
3.9,3.9,16.3,10.2,
3.9,3.9,16.3,10.3,
3.9,3.9,16.1,10.2,
3.9,3.9,16.1,9.9,
3.9,3.9,16.1,10,
3.2,3.2,16.1,9.9,
2.8,2.8,16.1,9.6,
2.8,2.8,16,9.6,
3.2,3.2,16,9.4,
2.9,2.9,16,9.4,
2.8,2.8,16,9.7,
2.8,2.8,16,9.4,
2.8,2.8,16,9.4,
2.8,2.8,16,9.5,
2.6,2.6,16,9.5,
2.6,2.6,16,9.6,
2.6,2.6,16,9.4,
2.4,2.4,15.5,8.9,
2.3,2.3,15.5,8.7,
2.2,2.2,15.5,8.8,
2,2,15.5,9.1,
2,2,14.8,9.6,
1.8,1.8,14.8,9.9,
1.7,1.7,13.5,9,
1.7,1.7,13.5,9,
1.7,1.7,13.5,9,
1.7,1.7,13.5,8.7,
1.7,1.7,13.5,8.7,
1.7,1.7,13.5,8.7,
1.7,1.7,13.5,9.1,
1.7,1.7,13.5,9.2,
1.7,1.7,13.5,9.1,
1.5,1.5,12.3,8,
1.3,1.3,11.8,7.8,
1.3,1.3,11.8,7.9,
1.3,1.3,11.8,7.8,
1.3,1.3,10.7,7,
1.3,1.3,10.7,7.1,
1.1,1.1,10.3,6.8,
1.1,1.1,10.3,6.8,
1.1,1.1,10.3,6.9,
1.1,1.1,10.3,6.8,
0.9,0.9,9.8,6.5,
0.9,0.9,9.8,6.4,
0.9,0.9,9.8,6.3,
0.9,0.9,9.8,6.4,
0.9,0.9,9.8,6.2,
0.9,0.9,8.6,5.4,
0.8,0.8,8.6,5.4,
0.8,0.8,8.6,5.6,
0.8,0.8,8.6,5.5,
0.8,0.8,8.6,5.5,
0.8,0.8,8.6,5.6,
0.8,0.8,8.6,5.5,
0.8,0.8,8.6,5.5,
0.8,0.8,8.2,5.2,
0.8,0.8,8.2,5.2,
0.8,0.8,8.2,5.2,
0.8,0.8,8.2,5.1,
0.8,0.8,7.9,4.9,
0.8,0.8,7.9,5.2,
0.4,0.4,11,7.1,
0.4,0.4,8,5.2,
0.4,0.4,8,5.3,
0.3,0.3,8,5.3,
0.29,0.3,8,5.3,
0.26,0.26,8,5.3,
0.26,0.26,8,5.3,
0.26,0.26,7.8,5.4,
0.26,0.26,7.8,5.4,
0.26,0.26,7.8,5.4,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.9,3.5,
0.1,0.1,4.9,3.6,
0.1,0.1,4.9,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.5,
0.1,0.1,4.8,3.4,
0.1,0.1,4.8,3.3,
0.1,0.1,4.6,3.1,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.08,0.08,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.8,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.6,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.7,
0.05,0.05,5.6,3.6,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.6,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,2.4,1.5,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.8,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.02,0.02,1.2,0.7,
0.4,0.4,7,2,
0.4,0.4,5.5,2,
0.4,0.4,5.5,2.3,
0.4,0.4,5.5,2.6,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.8,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,3.2,
0.4,0.4,5.5,3.2,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,3,
0.4,0.4,5.5,3.1,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,3,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.8,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.9,
0.4,0.4,5.5,2.9,
0.02,0.02,5.5,2.9,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.8,
0.02,0.02,5.5,2.9,
0.02,0.02,5.5,2.9,
